bbq sauce,BBQ Sauce,Diana Sauce
dried parsley,Parsley freeze-dried - 1 tbsp,USDA
totinos frozen party cheese pizza,Party Pizza Cheese,Totinos
totinos frozen pepperoni pizza,Party Pizza Pepperoni, Totinos
totinos pepperoni pizza,Party Pizza Pepperoni,Totinos
jornal pizza supreme save,Party Time Pizza SUpreme,Save Today
pasta,Pasta,Ronzoni
pasta pasta,Pasta,Ronzoni
steamed pasta,Pasta ,Ronzoni
pasta sauce,Pasta Sauce - 1 serving 1/2 cup,USDA
safeway tomato basil pasta sauce,Pasta Sauce Tomato Basil,safeway select
penne pasta,Pasta Penne,Rozzano
pbj sandwiches,PBJ ,Cheeburger Cheeburger
peach fruit cup,Peach & Strawberry Fruit Cups,market day
crystal light iced tea,Peach Iced Tea,Crystal Light
crystal light peach iced tea,Peach Iced Tea,Crystal Light
peanutbutter,Peanut Butter,Skippy
peanut butter pretzel,Peanut Butter Pretzel,Wholly Granolly
peanut butter sandwich,Peanut Butter Sandwich,Smucker's
egg cheese omelet peanut butter toast,Peanut Butter Toast Cheese Crackers,lance
jif penut butter,Peanut Butter Creamy,Jif
skippys reduced fat peanut butter,Peanut Butter Creamy Reduced Fat,Skippy
butter pecan pie,Pecan Pie,Little Debbie
apple pecan pie,Pecan Pie ,Little Debbie
penne pasta noodles,Penne Noodles Pasta Portions,Skinner
pepperjack cheese,pepperjack cheese,Well Informed
pepperjack flatbread,Pepperjack Combo Flatbread Wrap,Wakefield Sandwiches
pizza hut pizza,"Pepperoni - 14"" Large Pan Pizza",Pizza Hut
pepperoni pizza,Pepperoni Pizza - 1 Serving,USDA
hungry howies pepperoni pizza,Pepperoni Topping Only - 12 Slices,Hungry Howies
dried red pepper,Peppers sweet red freeze-dried - 1 tbsp,USDA
pepsi,Pepsi,Pepsi
homemade sundried tomato pesto,Pesto Sundried Tomato,Trempherbe
medium steak,Philly Steak,Domino's
dill pickles,Pickles Dill,Del Dixi
dill spear pickle,Pickles Dill Spears,Gedney
relish heniz ketchup,Picnic Pack Ketchup Tomato/Mustard Yellow/Relish Sweet,heinz
chunks pineapple,Pineapple Chunks,Red & White
chunks,Pineapple Chunks , Del Monte
pineapple,Pineapple raw all varieties - 1 fruit,USDA
pinto beans,Pinto Beans - 1 Cup,USDA
baked chips,Pita Chips Baked Ranch,boston chips
food lion brand pepperoni pizza bites,Pizza bites Pepperoni,Food lion
artichoke pizza,Pizza Artichoke 10 Inch,Artichoke Basille's Pizza Co.
brick oven style cheese pizza,Pizza Brick Oven Style Five Cheese,Hannaford
french bread pizza,Pizza French Bread,Giant
papa pizza meat lovers johns,Pizza Meat lovers,Hormel
totinos supreme whole pizza,Pizza Party Supreme, Totinos
pizza tomato sauce mozzarella onions,Pizza Tomato & Fresh Mozzarella,Epicurean
plain coffee,Plain,Tully's Coffee
wendys baked potato,Plain Baked Potato (avg. wgt. 10 oz.),Wendy's
turkey kielbasa,Polska Kielbasa Turkey,Butterball
microwave popcorn,Popcorn Microwave,Morrison Farms
pork belly sandwich,pork belly,Trader Joes
baked pork chop,Pork Chop - 1 chop,USDA
pork sausage,Pork Sausage,Northwest finest
jimmy dean sausage patties,Pork Sausage Patties,Jimmy Dean
homemade pulled pork oz home roasted pork shoulder,Pork fresh shoulder blade boston (roasts) separable lean and fat cooked roasted ,USDA
cape cod pulled pork chips,Potato Chips,Cape Cod
classic lays potato chips,Potato Chips - Lays Classic,Gandolfo's New York Delicatessen
diet sunkist reduced fat cape cod chips,Potato Chips 40 % Reduced Fat,Cape Cod
lays sour cream and onion potato chips,Potato Chips Baked Lays Sour Cream and Onion,Gandolfo's New York Delicatessen
cheese potato chips,Potato Chips Cheese ,Ruffles
lays salt and vinegar chips,Potato Chips Salt & Vinegar,Lays
potato fries,potato fries,Simple truth
popped chips,Potato Popped Chips,Herr's
fried potstickers,Potsickers,Kona Grill
mini powdered donuts,Powdered Mini Donuts, Franz
macdonald chicken sandwich,Premium Grilled Chicken Club Sandwich,Mcdonalds
land ofrost premium hickory smoked turkey breast sandwich,Premium Hickory Smoked Turkey Breast,Land o' Frost
protein shake,protein shake,Premiere Protein
special k snack bar,Protein Snack Bar Special K Chocolate Peanut,Special K
cape cod pulled pork sandwich,Pulled pork sandwich,Kinder's
pulled pork sandwich,pulled pork sandwich,Kinder's
homemade pulled pork oz home roasted pork sandwich,Pulled Pork Sandwich ,Jimmy Dean
barbecue pulled pork chex sandwich,Pulled Pork Barbecue,Plaisirs Gastronomiques
kellogs raisin bran,Raisin Bran,Kellogg's
post raisin bran,Raisin Bran,Post
raisin brand cereal milk,Raisin Bran Cereal,Raisin Bran
raisins,Raisins seedless - 1 oz (60 raisins),USDA
ranch salad,Ranch Salad,Cousin's Subs
raspberries,Raspberries raw - 1 cup,USDA
medium raspberry sweet tea,Raspberry Sweet Iced Tea Medium,Sonic
raspberry tea,Raspberry tea,Honest tea
garlic raviolli,Ravioli Basil and Garlic,Hannaford
market pantry mac,Ravioli Mac & Cheese,Market Pantry
red beans,Red Beans,Red Gold
red hot peppers,Red Hot Peppers Whole,La Cholila
franks red hot buffalo sauce,Red Hot Wings Buffalo Sauce,Franks
sauted red potato,Red Potato Salad,Compliments
red rice,red rice,Marcela Valladolid
rueben sandwich,Reuben,Big Town Hero
crusties rice,Rice,Carrows
broccoli with white rice,Rice & Broccoli with Cheese Sauce,Meijer
beef and pasta,Rice and Pasta Mix Beef Flavored,hannaford
cake rice,Rice Cake,JFC
rice crispie cereal,Rice Crispies Cereal,Kellogg's
uncle bens rice pilaf,Rice Meal Rice Pilaf,Uncle Bens
hay yellow rice,rice yello,Iberia
roasted green beans strawberries,Roasted Green beans,Bertuccis
roasted potatoes,roasted potatoes,Au Bon Pain
american sourdough,Roll French Sourdough,Franco American Bakery
romaine lettuce salad,Romaine Lettuce,Souper Salad
fresh lettuce tomato,Romaine Lettuce Fresh,Wegmasn
roti,Roti,TWI Foods Inc.
salad,Salad,Carrow's
fresh toasted salad,Salad,Fresh Creative Foods
buffalo chicken salad radishes,Salad Buffalo Chicken,Marketside
fresh salad,Salad Fresh Garden,Wegmans
kale salad,Salad Kale,Walmart Deli
fresh salad lettuce,Salad Lettuce Trio,Fresh Express
grill salmon,Salmon,Kona Grill
salmon,Salmon - 3 oz,USDA
salmon salad,salmon salad,WOODY'S BBQ
salsa avocado,Salsa Avocado,Evolution
salt,Salt table - 1 tbsp,USDA
oyster crackers,Saltines - 1 cup oyster crackers,USDA
brownberry thin sandwich,Sandwich Thins,Brownberry
strawberry jelly sandwich,Sandwiches Peanut Butter & Strawberry Jelly,Shoprite
alfredo sauce,sauce alfredo,Ragu
ragu sauce,Sauce Organic Cheese ,Ragu
polka sausage,Sausage,Polski
sausage and cheese pita pocket,Sausage & Cheese Pita Pocket Breakfast Sandwich,Kroger
egg and sausage,Sausage and egg sandwich,Fatburger
beef sausage links,Sausage Links Beef,Banquet
sausage mcmuffin,sausage mcmuffin,Mcdonald's
sausage egg and cheese sandwich,Sausage Egg and Cheese Breakfast Sandwich,Port City Java
sausage egg and croissant cheese,Sausage Egg and Cheese Croissant,jimmy dean
sausage,Sausage smoked link sausage pork and beef - 3 oz,USDA
wheat sausage,Sausage Whole Wheat,Doubledave's Pizzaworks
sauteed bell peppers,"sauteed bell peppers  	 ",Buffets
turkey loaf,Savory Turkey Loaf,Eaturna
scrambled the organic eggs,Scrambled Eggs,Buffets
scrambled french eggs,Scrambled Eggs,Buffets
scramble eggs,Scrambled Eggs,Daily Grill
english mufflin scrambled egg,Scrambled Eggs/Sausage/English Muffin,friendly's
scrambled toast,Scrambled Eggs/Sausage/Toast,Friendly's
scrambled french toast,Scrambled Eggs/Sausage/Toast,Friendlys
chicken seasoning,Seasoning Chicken,Valu Time
tillomook sharp cheddar cheese,Sharp  Cheddar Cheese,IGA
fried sargento sharp cheddar egg,Sharp Cheddar,Sargento
fried sargento sharp cheddar cheese,Sharp Cheddar Cheese,Sargento
shredded cheddar cheese,Shredded Cheddar Cheese,Sizzler
kraft shredded mexican cheese,Shredded Cheese Mexican Four Cheese,Kraft
wegmans shredded mozzarella onion,Shredded Cheese Mozzarella,Wegmans
wegmans shredded mozzarella cheese,Shredded Cheese Mozzarella,Wegmans
shredded cheese,Shredded Mozzarella,William's Cheese
shredded pork,Shredded Pork,Lee's Sandwiches
boiled shrimp,shrimp cooked,shrimp
house salad,Side Salad - 1.5 cup,USDA
side salad,Side Salad - 1.5 cup,USDA
sliced strawberries,Sliced Strawberries,Hannaford
goat curry,Sm Curry Goat Meal,Golden Krust Caribbean Bakery & Grill
bulkie roll,Small bulkie roll,Seasonal Specialities
small potatoes,Small Whole Potatoes ,Wylwood
smoke turkey sandwich,smoke turkey sandwich,4food
smoked turkey sandwich,Smoked Turkey Sandwich,Robin's Donuts
snack,Snack Chips,Atkins
fage clif bar,Snacks CLIF BAR mixed flavors - 1 bar,USDA
gronal bar,Snacks granola bars hard plain - 1 bar,usda
granola bar,Snacks granola bars hard plain - 1 bar,USDA
chips,Snacks potato chips plain salted,NF
snow pea cashews,Snow Peas,Marketside
snow pea salad,Snow Peas,Marketside
dr pepper,Soda,Dr. Pepper
orange soda,Soda Organge,Big orange
chicken noddle soup,Soup Chicken Noodle,Always Save
chicken pasta soup,Soup Chicken with Mini-Pasta,Campbells
sour beans,Sour Jelly Beans,Warheads
sourdough toast,Sourdough Toast,Mimis Cafe
soy milk,Soy Milk - 1 cup,USDA
vanilla soy milk,Soy Milk Vanilla, Soy Dream
great value canned spaghetti os,Spaghetti,Great Value
garlic spaghetti,Spaghetti Sauce Garlic & Herb,Kroger
spaghetti in meat sauce,Spaghetti in Meat Sauce,Chef Boyardee
white spaghetti,Spaghetti White Fiber,Barilla
special k cereal,Special K - 1 cup (1 NLEA serving), USDA
berries chewy red bar,Special K Cereal Bar Red Berries,Kelloggs
kellogs special k chocolate delight cereal,Special K Cereal Chocolatey Delight,Special K
special k special fruit and yogurt cereal,Special K Fruit & Yogurt Flavor Cereal,Kellogg's
pepper,Spices pepper black - 1 tsp whole,USDA
chipotle beef burrito,Spicy Chipotle Beef & Bean Burrito,Red's
spicy tuna roll,Spicy Tuna Roll,Benihana
sauted spinach,Spinach,Taylor
spinach salad,Spinach Salad,Aladdin's Eatery
ragu pasta,Spiral Pasta & Ragu Sauce Traditional Tomato,Ragu
smithfield ham,Spiral Sliced Ham,Smithfield
swiss cheese bacon,Spreadable Cheese Bacon Swiss,Pineland Farms
spring mix salad,spring mix salad,CAMILIE'S
spring rolls,Spring Rolls,Jennifer's Garden
sprite,Sprite - 1 fl oz,USDA
starbucks coffee,Starbucks Vanilla Iced Coffee,Starbucks
grill steak,Steak,Kona Grill
oz steak,steak 3 oz,Barberitos
red wine sauce steak,Steak Sauce Espresso Red Wine,Good Housekeeping
ounce steak,Steak Tips - 16 ounce,Not Your Average Joe's
out combo meal of cheeseburger,Steak-Out Kids Meal Cheeseburger w/ Sauce,Steak-Out
mcdonalds steak bagel egg and cheese sandwich,Steak Egg & Cheese Bagel,McDonald's
steamed asparagus,steamed asparagus,Bonefish Grill
steamed broccoli,Steamed Broccoli - 0.5 cup chopped,USDA
steamed carrots,Steamed Carrots,Daily Grill
grill rice,Steamed Rice,Genghis Grill
steamed shrimp,Steamed Spiced Shrimp,Phillips
steamed spinach,Steamed Spinach,Daily Grill
steamed steak,Steamed Steak Teriyaki,Pei Wei Asian Diner
steamed dumpling,Steamed Vegetable Dumpling ,PF Chang's
fried vegetables,Stir Fried Rainbow Vegetables,Ponderosa Steakhouse
stir fry,Stir Fry,Best Choice
grilled strawberries,Strawberries ,Houlihan's
blueberries strawberries,Strawberries and Blueberries Mix,DOle
frozen strawberries,Strawberries Frozen,Kirkland Signature
sweetened strawberries,Strawberries frozen sweetened whole - 1 cup thawed, USDA
fresh strawberries,Strawberries raw - 1 cup whole,USDA
strawberry cheese cake,Strawberry Cheese Cake Square,Sandella's
heb brand strawberry cream cheese,Strawberry Cream Cheese,Philadelphia
strawberry jam,Strawberry Jam ,Smucker's
strawberry milkshake,Strawberry Milkshake,Smashburger
string beans,String Beans,Glory Food
sunflower seeds,Sunflower Seeds,Natures Place
jornal pizza supreme salad,Supreme Pizza,Cheezie's Pizza
star sushi roll tuna avacado,Sushi Spicy Tuna Roll,Asiana Cuisine
hardboiled sweet relish,Sweet Relish,Vlasic
beef and cheese tacos,Tacos Beef & Cheese,El Monterey
oreida tater tots,tater tots,Ore-ida
or ida shredded hashbrowns,Tater Tots Seasoned Shredded Potatoes,ore-ida
starbucks venti unsweetened black iced tea,Tazo Bottled Organic Black Iced Tea  ,Starbucks Coffee
lipton tea,Tea,Lipton
almond tea,Tea Almond,CAcafe
tea,Tea black brewed prepared with distilled water ,USDA
earl gray tea,Tea earl Gray,Bigelow
unsweet tea,tea unsweet,Rooibee Red Tea
chicken teriyaki inch sub,Teriyaki Chicken,Subway
buttered toast,Texas Toast Buttered,City Barbecue
cheese ranch dressing,Three Cheese Ranch Dressing,Kraft
tilapia fish filet,Tilapia (filet),Chicken Shack
bikini girls toast,Toast,Krystal
kroger smores toaster pastries,Toaster Pastries S'mores,Pop Tarts
house foods firm tofu,Tofu Firm,House Foods
tomato,"Tomato - 1 large whole (3"" dia)",USDA
tomatoes,"Tomato - 1 large whole (3"" dia)",USDA
green lettuce tomato cucumber,Tomato Cucumber,merzi
diced tomatoes,Tomatoes Diced ,Eden
canned diced tomatoes,Tomatoes Diced Canned,Hannaford
stewed tomatoes,Tomatoes Stewed,Our Family
ramen chicken flavored noodles,Top Ramen Noodles Chicken Flavor, Nissin
ramen noodles flavor chicken,Top Ramen Noodles Chicken Flavor,Nissin
cattle company strip iced blue cheese sourdough steak,Top Sirloin Steak,Thousand Hills Cattle Company
butoni cheese tortellini,Tortellini Cheese  ,Meijer
doritos chips,tortilla chips taco,Doritos
tortilla strips,tortilla strips,Mission
one tortilla wrap,Tortilla Wrap,Purebread Delio
heb brand tortillas,Tortillas ,H-E-B
taco bell tostada,Tostada,Taco Bell
grill fish,TR's Fish Grill - Salmon Grilled,Tony Roma's
subway tuna sandwich,Tuna,Subway
tuna roll,Tuna Roll,Friendly's
tuna salad sandwich,Tuna Salad Sandwich Original,Potbelly
tuna sandwich,tuna sandwich,zpizza
tuna steak,tuna steak,BLACK TIE
active turkey bacon,Turkey Bacon,Fit&Active
oscar meyer bacon,Turkey Bacon,Oscar Meyer
turkey bratwurst,Turkey Bratwurst, Peapod
oscar meyer turkey,Turkey Breast,Oscar Meyer
subway turkey sandwich,Turkey Breast,Subway
turkey sandwich potato chips pickle,Turkey Burger Sandwich (1 sandwich) with Pickle Chips,cheeburger cheeburger
turkey sandwich,Turkey Sandwich - 1 sandwich,Nutritionix
turkey sausage,Turkey sausage fresh cooked - 1 serving,USDA
smoked turkey,Turkey Smoked,Land O'Frost
grill chicken,Ultimate Chicken Grill Fillet,Wendys
tsp unsalted butter,Unsalted Butter, Challenge
unsweetened vanilla almond milk,Unsweetened Almond Milk Vanilla,Silk
chia seed pudding,Vanilla Chia Seed Pudding,Fresh and Co
homemade vanilla cupcake,Vanilla Cupcake,Panera Bread
chipotle vegetarian bowl,Vegetarian Bowl,Maui Tacos
grain vegetarian eggs,Vegetarian Eggs Large Brown,4 Grain
garbanzo bean burger,Veggie Burgers Roasted Tomato & Garbanzo Beans with Mozzarella Cheese,Wegmans
little caesars pizza,Veggie Pizza,little caesars pizza
vinaigarette dressing,Vinaigrette,Alpine Avocado
kroger brand vitamin d milk,Vitamin D Milk,Kroger
eggo waffles log cabin syrup,Waffles Buttermilk,log cabin
frozen waffles,Waffles Original Frozen ,Best Choice
waffles,Waffles plain frozen ready - 1 oz,USDA
eggs wheat waffles,Waffles Wheat Grain,Giant
kroger classic mayo wasabi,Wasabi Mayo ,Houlihans
water,Water,Aqua Hydrate
ice cold water,Water,Aqua Hydrtae
spring water,Water bottled POLAND SPRING - 1 fl oz,USDA
lemon water,water lemon,Bot
traderjoes joes natural mountain spring water,Water Natural Mountain Spring,Trader Joes
wheat bread,Wheat Bread, Sara Lee
sara lee bread,Wheat Bread ,Sara Leee
wheat roll,Wheat Roll,Friendluy's
designer vanilla whey protein powder,Whey Protein Powder French Vanilla,Designer Whey
whip cream,Whip Cream,Tully's Coffe
sara lee white bread,White Bread,Sara Lee
white broccoli,white broccoli,pastaroni
white rice,White Rice - 1 cup,USDA
rice,White Rice - 1 cup,USDA
white toast,White Toast - 1 slice thin,USDA
whole grain bread,whole grain bread,Udis
perdue del monte corn,Whole kernel corn,Delmont
country fare whole milk,Whole Milk,Hill Country Fare
whole milk,Whole Milk,Organic Valley
natures own whole wheat toasts,Whole Wheat Bread,Nature's Own
whole wheat pita cheese sandwich,Whole wheat pita,Pitas
toast whole wheat toast,Whole Wheat Toast,Bauducco
whole wheat toast,Whole Wheat Toast,Bauducco
hay yellow corn,Yellow Corn,Delish
yellow onion,Yellow Onion,Bakers Square
chobani mango yogurt,Yogurt Greek Low-Fat Mango,Chobani
yoplait light orange creme yogurt,Yogurt Orange Creme,Yoplait
plain yogurts,Yogurt plain low fat 12 grams protein per 8 ounce - 1 cup (8 fl oz),USDA
yoplait vanilla yogurt,Yogurt Vanilla,Yoplait
